番号,日時,質問（列）,設問文章,,,,備考
1,2022-05-31,G,最後に通った学校の種類を選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
2,2022-05-31,I,現在通っている学校の種類を選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
3,2022-05-31,K,現在の仕事は大きく分けて、この中のどれにあたりますか。 ,その他の文章が全く同じだった場合重複と認定〜,,,
4,2022-05-31,L,仕事をしていない場合、この中のどれにあたりますか。,その他の文章が全く同じだった場合重複と認定〜,,,
5,2022-05-31,O,現在、自分の性別についてどのように捉えてますか。以下の中から一番近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
6,2022-05-31,U,【自認する前に】恋愛的に惹(ひ)かれた相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
7,2022-05-31,V,【自認してから】恋愛的に惹(ひ)かれた相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
8,2022-05-31,W,信頼関係がある人にのみ「恋愛的に」惹(ひ)かれますか。,その他の文章が全く同じだった場合重複と認定〜,,,
9,2022-05-31,X,自分が「恋愛的に」惹(ひ)かれている相手から、恋愛感情を返されることを期待しますか。,その他の文章が全く同じだった場合重複と認定〜,,,
10,2022-05-31,Y,次の選択肢のうち、自認しているものはどれですか。,その他の文章が全く同じだった場合重複と認定〜,,,
11,2022-05-31,AA,あなたは自分のことを「ノンセクシュアル」という言葉で表現しますか、または認識していますか。,その他の文章が全く同じだった場合重複と認定〜,,,
12,2022-05-31,AB,上で選択したセクシュアリティについて、自認することをためらった経験がありますか。,その他の文章が全く同じだった場合重複と認定〜,,,
13,2022-05-31,AJ,【自認する前に】性的に惹(ひ)かれた相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
14,2022-05-31,AK,【自認してから】性的に惹(ひ)かれた相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
15,2022-05-31,AL,信頼関係がある人にのみ「性的に」惹(ひ)かれますか。,その他の文章が全く同じだった場合重複と認定〜,,,
16,2022-05-31,AM,自分が「性的に」惹(ひ)かれている相手から、性的に求められることを期待しますか。,その他の文章が全く同じだった場合重複と認定〜,,,
17,2022-05-31,AN,次の選択肢のうち、自認しているものはどれですか。,その他の文章が全く同じだった場合重複と認定〜,,,
18,2022-05-31,AP,上で選択したセクシュアリティについて、自認することをためらった経験がありますか。,その他の文章が全く同じだった場合重複と認定〜,,,
19,2022-05-31,AS,過去に他のセクシュアリティを自認していましたか。以下の中から、あてはまるもの全て選択してください。（複数選択可）,その他の文章が全く同じだった場合重複と認定〜,,,
20,2022-05-31,AU,【Aro/Aceの中には、自分のセクシュアリティについて知る前に自分のあり方についてインターネットなどを使って調べたことのある人もいれば、たまたまAro/Aceに関する情報を得た人もいます。】Aro/Ace（のどれかのセクシュアリティ）について知る前に、自分の恋愛または性愛のあり方について調べましたか。,その他の文章が全く同じだった場合重複と認定〜,,,
21,2022-05-31,AV,はじめてAro/Ace（のどれかのセクシュアリティ）について知ったのはどこですか。,その他の文章が全く同じだった場合重複と認定〜,,,
22,2022-05-31,AZ,自分がAro/Ace（のどれかのセクシュアリティ）であることをカミングアウトしたのは誰ですか。(複数回答可),その他の文章が全く同じだった場合重複と認定〜,,,
23,2022-05-31,BC,現在、恋愛的かつ性的な関係のパートナー等はいますか。,その他の文章が全く同じだった場合重複と認定〜,,,
24,2022-05-31,BD,（恋愛的かつ性的な関係の）パートナー等の性別を以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
25,2022-05-31,BE,現在、恋愛的でも性的でもない関係のパートナー等はいますか。,その他の文章が全く同じだった場合重複と認定〜,,,
26,2022-05-31,BF,（恋愛的でも性的でもない関係の）パートナー等の性別を以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
27,2022-05-31,BG,現在、恋愛的関係のみの（性的な関係はない）パートナー等はいますか。,その他の文章が全く同じだった場合重複と認定〜,,,
28,2022-05-31,BH,（恋愛的関係のみの）パートナー等の性別を以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
29,2022-05-31,BI,現在、性的な関係のみの（恋愛的な関係はない）パートナー等はいますか。,その他の文章が全く同じだった場合重複と認定〜,,,
30,2022-05-31,BJ,（性的関係のみの）パートナー等の性別を以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
31,2022-05-31,BK,恋愛的かつ性的な関係のパートナー等を望みますか。一番近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
32,2022-05-31,BL,どの性別の（恋愛的かつ性的な関係の）パートナー等を望みますか。以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
33,2022-05-31,BM,恋愛的でも性的でもない関係のパートナー等を望みますか。一番近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
34,2022-05-31,BN,どの性別の（恋愛的でも性的でもない関係の）パートナー等を望みますか。以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
35,2022-05-31,BO,恋愛的関係のみの（性的な関係はない）パートナー等を望みますか。一番近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
36,2022-05-31,BP,どの性別の（恋愛的関係のみの）パートナー等を望みますか。以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
37,2022-05-31,BQ,性的な関係のみの（恋愛的な関係はない）パートナー等を望みますか。一番近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
38,2022-05-31,BR,どの性別の（性的関係のみの）パートナー等を望みますか。以下から選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
39,2022-05-31,BV,現在、同性パートナーシップや養子縁組など、(戸籍上)同性の人と結婚に準ずる関係性を持っていますか。,その他の文章が全く同じだった場合重複と認定〜,,,
40,2022-05-31,BY,子どもを望みますか。,その他の文章が全く同じだった場合重複と認定〜,,,
41,2022-05-31,BZ,法律上、どのような関係の子どもを望みますか。以下の中から当てはまるもの全てを選択してください。(複数回答可),その他の文章が全く同じだった場合重複と認定〜,,,
42,2022-05-31,CB,現在、あなたと一緒に住んでいる方全てを選択してください。(複数回答可),その他の文章が全く同じだった場合重複と認定〜,,,
43,2022-05-31,CM,以下の選択肢から、強い好意的な感情を向ける対象(いわゆる「推し」)があれば選択してください。(複数回答可),その他の文章が全く同じだった場合重複と認定〜,,,
44,2022-05-31,CN,以下の選択肢から、恋愛的感情や性的感情が含まれない「愛情」を感じる対象があれば選択してください。(複数回答可),その他の文章が全く同じだった場合重複と認定〜,,,
45,2022-05-31,CO,Aro/Aceであることで以下のことを経験したことはありますか。該当するものを全て選択してください。（複数選択）,その他の文章が全く同じだった場合重複と認定〜,,,
46,2022-05-31,CQ,Aro/Aceとして生きる中で不安を感じることはどのようなものがありますか。以下から近いものを全て選択してください。（複数選択）,その他の文章が全く同じだった場合重複と認定〜,,,
47,2022-05-31,CW,これまでに性行為をしようと思った相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
48,2022-05-31,CZ,【自認する前に】性行為をした相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
49,2022-05-31,DA,【自認してから】性行為をした相手としてもっとも近いものを選択してください。,その他の文章が全く同じだった場合重複と認定〜,,,
50,2022-05-31,DD,性行為をする（していた）理由はなんですか。以下から近いものを全て選択してください。（複数回答可）,その他の文章が全く同じだった場合重複と認定〜,,,
51,2022-05-31,DE,普段どれくらいの頻度で自慰行為（マスターベーション）をしていますか。,その他の文章が全く同じだった場合重複と認定〜,,,
52,2022-05-31,DF,自慰行為をする（していた）理由はなんですか。以下から近いものを全て選択してください。（複数回答可）,その他の文章が全く同じだった場合重複と認定〜,,,
53,2022-05-31,DH,【必須項目】この調査を知ったのはどこですか。,その他の文章が全く同じだった場合重複と認定〜,,,
54,2022-05-31,AC,上記の回答に関して具体例やエピソードがあればご自由にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
55,2022-05-31,AQ,上記の回答に関して具体例やエピソードがあればご自由にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
56,2022-05-31,AW,一つ前の質問で選択したものについて、詳しく覚えている方は以下に具体的にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
57,2022-05-31,CD,上記の回答に関して補足、意見などがあればご自由にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
58,2022-05-31,CP,上記の回答に関して具体例があればご自由にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
59,2022-05-31,CR,上記の回答に関して具体例があればご自由にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
60,2022-05-31,CT,上記の回答に関して具体例があればご自由にお書きください。,回答の文章が全く同じだったら重複と認定〜,,,
61,2022-05-31,DJ,回答ありがとうございます。是非以下から本調査への感想やご意見をお答えください。,回答の文章が全く同じだったら重複と認定〜,,,
62,2022-05-31,DK,この度は本調査に関心を寄せてくださり、誠にありがとうございます。もし本調査へのご意見等があれば、任意でご記入ください。次回への参考にいたします。,回答の文章が全く同じだったら重複と認定〜,,,